label,episode,opponent,seat,mine,theirs,rec_mine,rec_theirs,flipped
CARROT_SWAP=(),episode-93757069-replay,Harshith revuru,0,51762.0,52007.0,51762.0,52007.0,0
CARROT_SWAP=(),episode-93761159-replay,Saivedant Hava,1,67721.0,68926.0,67721.0,68926.0,0
CARROT_SWAP=(),episode-93781740-replay,Jince,1,58067.0,92068.0,58067.0,92068.0,0
CARROT_SWAP=(),episode-93788031-replay,Cary Jin,0,111947.0,113105.0,111947.0,113105.0,0
CARROT_SWAP=(),episode-93788202-replay,Jiayi Tang,1,125334.0,135865.0,125334.0,135865.0,0
CARROT_SWAP=(),episode-93788685-replay,iVl44d,1,117893.0,128973.0,117893.0,128973.0,0
CARROT_SWAP=(),episode-93789175-replay,Prajwal M,1,86219.0,86714.0,86219.0,86714.0,0
CARROT_SWAP=(),episode-93799715-replay,We are Charlie Brown,1,65305.0,67987.0,65305.0,67987.0,0
CARROT_SWAP=(),episode-93800883-replay,vijaikm,1,70792.0,72588.0,70792.0,72588.0,0
CARROT_SWAP=(),episode-93818931-replay,Jeff Marc E. Cadet,0,61212.0,86742.0,61212.0,86742.0,0
CARROT_SWAP=(),episode-93851015-replay,Maksim Borisov,0,92834.0,97271.0,92834.0,97271.0,0
CARROT_SWAP=(),episode-93879128-replay,Aadi,0,70412.0,74404.0,70412.0,74404.0,0
CARROT_SWAP=(),episode-93891311-replay,mandgeee,0,88669.0,102467.0,88669.0,102467.0,0
CARROT_SWAP=(),episode-93902117-replay,Kers Aoyagi,0,101824.0,110555.0,101824.0,110555.0,0
CARROT_SWAP=(),episode-93918571-replay,automatylicza,0,104847.0,114009.0,104847.0,114009.0,0
CARROT_SWAP=(),episode-93935341-replay,kay.liechtenstein,0,51511.0,55841.0,51511.0,55841.0,0
CARROT_SWAP=(),episode-93993495-replay,Raef Guizani,0,58207.0,59567.0,58207.0,59567.0,0
CARROT_SWAP=(),episode-94032149-replay,Furious Monk,1,61491.0,91568.0,61491.0,91568.0,0
CARROT_SWAP=(),episode-94050542-replay,InformaBook2,0,124914.0,145895.0,124914.0,145895.0,0
CARROT_SWAP=(),episode-94050652-replay,vladee,0,47973.0,52467.0,47973.0,52467.0,0
CARROT_SWAP=(),episode-94053099-replay,Hak,1,85365.0,91806.0,85365.0,91806.0,0
CARROT_SWAP=(),episode-94061291-replay,Wufang Hong,1,94914.0,99812.0,94914.0,99812.0,0
CARROT_SWAP=(),episode-94066652-replay,yotsutose,1,40675.0,41817.0,40675.0,41817.0,0
