episode,team_a,score_a,team_b,score_b
96366842,SaiKushal185,54859,Seb (allegedly),52699
96366878,ReCurSiON,130099,u,137955
96366879,Kaan Dınız,66476,Xiaowenhao404,69468
96373697,peikopon,66751,ReCurSiON,64111
96376038,James Holland,41827,Kenjo1209,44424
96378269,Ryo Hasegawa,143823,Arman Tuganbaev,133058
96378271,Excluding,71587,peikopon,67008
96378272,Subramanya N,82949,Arman Tuganbaev,88191
96378274,Ryo Hasegawa,89817,tetsuya,110735
96378275,Arman Tuganbaev,118093,Izzoudine Mohamed KANTA,111928
96378277,peikopon,47571,カワシギ,44729
96378278,peikopon,77632,Izzoudine Mohamed KANTA,79978
96380603,StackKnight,57505,James Holland,47646
96385014,Xiaowenhao404,117116,Khalid,115298
96387365,Pardheev Krishna,59003,Thomas Tschinkel,65009
96387366,Kobe BRYANT,97380,ReCurSiON,91991
96387369,ReCurSiON,80200,MiMi,86295
96387452,ReCurSiON,65632,Ryo Hasegawa,69238
96387454,SaiKushal185,68250,Efe Can Celiksoy,57187
96387455,ReCurSiON,71589,bplyc15,60312
96389683,ReCurSiON,106918,Kostiantyn Isaienkov,98961
96389686,SaiKushal185,54259,lucaskna,55498
96389688,SaiKushal185,113384,MiMi,119143
96389690,MiMi,107752,Xiaowenhao404,112797
96391935,Seb (allegedly),70613,StackKnight,54453
96391954,Victor @ Tufa Labs,95670,Arda Ceylan,113493
96391963,Kaan Dınız,130106,Xiaowenhao404,132395
96398767,peikopon,81480,SaiKushal185,79535
96401090,Kenjo1209,130339,bplyc15,124066
96401091,qr Z1201,87590,James Holland,86452
96403341,Kobe BRYANT,65348,Excluding,70163
96403342,Subramanya N,101039,peikopon,117590
96403343,tetsuya,66287,Ryo Hasegawa,65523
96403344,Subramanya N,87903,tetsuya,87494
96403345,Izzoudine Mohamed KANTA,77256,Excluding,80723
96403346,Arman Tuganbaev,80147,tetsuya,79206
96403348,Izzoudine Mohamed KANTA,57109,Excluding,53438
96403349,peikopon,108005,MiMi,116406
96403351,Xiaowenhao404,58870,カワシギ,61750
96412485,Thomas Tschinkel,44257,Pardheev Krishna,40056
96412487,カワシギ,94997,Thomas Tschinkel,98660
96412489,Anand,112099,Victor @ Tufa Labs,114216
96412508,Ryo Hasegawa,70844,peikopon,66594
96412511,James Holland,77369,SaiKushal185,75569
96412512,James Holland,52064,Efe Can Celiksoy,51933
96412513,ReCurSiON,67763,Games Jadley,87071
96414778,Seb (allegedly),56239,Kostiantyn Isaienkov,56028
96414779,Thomas Tschinkel,71006,ReCurSiON,64457
96414781,lucaskna,108385,Efe Can Celiksoy,112803
96417061,Xiaowenhao404,60588,Arda Ceylan,61222
96417079,Arda Ceylan,88254,Kaan Dınız,88364
96423919,SaiKushal185,95907,カワシギ,92820
96428371,bplyc15,95096,Ozi,94830
96428372,webmaking,103726,Kenjo1209,82625
96428376,Thomas Tschinkel,100480,Luan Kunyu,103666
96430635,Kobe BRYANT,104389,peikopon,96616
96430637,Subramanya N,80339,Ryo Hasegawa,79517
96430638,Subramanya N,76921,Izzoudine Mohamed KANTA,58991
96430639,Izzoudine Mohamed KANTA,91858,MiMi,96595
96430640,peikopon,88916,Arman Tuganbaev,83851
