submission_id,description,episode_id,create_time,seat,reward,opponent,opponent_submission_id,opponent_reward,margin,outcome
55357136,Trial 1,91074433,2026-08-08T17:55:58.801000,1,13235,yankang_XZK,55209430,37122,-23887,LOSS
55357136,Trial 1,91075330,2026-08-08T17:59:58.909000,1,20816,sh_sub97,55350697,7508,13308,WIN
55357136,Trial 1,91076191,2026-08-08T18:03:59.391000,0,15263,AnkitGoyal,55265611,42426,-27163,LOSS
55357136,Trial 1,91077084,2026-08-08T18:07:58.994000,1,20280,Oleksandr Dudnev,55346425,77575,-57295,LOSS
55357136,Trial 1,91077971,2026-08-08T18:12:01.522000,0,15599,Dharshini,55353686,20054,-4455,LOSS
55357136,Trial 1,91078879,2026-08-08T18:15:59.703000,0,7599,ali dzaki,55324738,4640,2959,WIN
55357136,Trial 1,91079755,2026-08-08T18:19:58.653000,0,18229,AgroVisionAI,55350772,21744,-3515,LOSS
55357136,Trial 1,91080649,2026-08-08T18:23:58.786000,1,10126,Héctor Valverde,55278173,12884,-2758,LOSS
55357136,Trial 1,91081547,2026-08-08T18:27:58.624000,0,9702,BillDoser,55356819,6397,3305,WIN
55357136,Trial 1,91082419,2026-08-08T18:32:00.976000,1,22683,codefusiondu,55288469,62,22621,WIN
55357136,Trial 1,91083300,2026-08-08T18:35:58.525000,1,11120,Shreyansh Kanotra,55304380,27437,-16317,LOSS
55357136,Trial 1,91084220,2026-08-08T18:39:59.024000,0,18918,kazuki_kazukazu,55140467,5849,13069,WIN
55357136,Trial 1,91085099,2026-08-08T18:43:58.577000,0,11911,Valentin,55147104,6822,5089,WIN
55357136,Trial 1,91085980,2026-08-08T18:47:58.577000,1,8893,Kawish Hassan,55275759,22878,-13985,LOSS
55357136,Trial 1,91097372,2026-08-08T19:39:59.872000,1,10293,Jebez Oswald,55322698,26720,-16427,LOSS
55357136,Trial 1,91126185,2026-08-08T21:52:08.835000,0,9341,ChloeeeeY,55299307,27770,-18429,LOSS
55357136,Trial 1,91133138,2026-08-08T22:24:05.671000,1,20488,Deekshitha Prabhakar,55304740,2305,18183,WIN
55359246,Better version,91101423,2026-08-08T20:00:05.670000,1,17335,indira,55129229,31072,-13737,LOSS
55359246,Better version,91102306,2026-08-08T20:04:05.625000,0,12739,halfpintcider,55356101,8852,3887,WIN
