Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16644287,"Ryo Hasegawa","2026-08-19 04:08:02",3134.2,2,ryohasegawa926
2,16705390,"Subramanya N","2026-08-19 05:54:18",3037.2,2,subramanya1997
3,16714457,"Crop Dusta","2026-08-23 12:07:11",2956.8,2,rishigottumukkala
4,16711376,"Arman Tuganbaev","2026-08-19 07:10:58",2952.4,2,armantuganbaev
5,16712714,MiMi,"2026-08-21 10:40:56",2947.6,2,"frank0921,rickytsou"
6,16693215,"Izzoudine Mohamed KANTA","2026-08-19 19:30:55",2906.3,2,izzoudeenkanta
7,16730676,ActiveMusyoku,"2026-08-22 16:25:47",2894.2,2,"daiki0381,kohei0okazaki,noriyukimori,ryonatori,seipon"
8,16740010,"Kobe BRYANT","2026-08-21 12:11:15",2875.3,2,kobebryantjohn
9,16677252,カワシギ,"2026-08-17 14:08:48",2838.1,2,kawashigi
10,16715733,peikopon,"2026-08-20 02:05:15",2828.2,2,peikopon
11,16630516,"Seb (allegedly)","2026-08-21 14:00:43",2823.2,2,sebmallia
12,16730323,fufufukakaka,"2026-08-22 13:40:44",2812.1,2,fufufukakaka
13,16707453,"Kaan Dınız","2026-08-21 15:14:01",2806.9,2,kaandnz
14,16676455,"Sarthak Sharma ","2026-08-22 22:07:03",2773.2,2,sarthaksharma14
15,16627032,"Kaito Fukami","2026-08-23 15:44:58",2769.2,2,kaitofukami
16,16630675,"Lucien de Rubempre","2026-08-20 16:44:32",2764.0,2,lucienderubempre
17,16703045,ReCurSiON,"2026-08-14 14:14:52",2762.3,2,ashok205
18,16654704,mandgeee,"2026-08-23 12:21:28",2751.5,2,mandgeee
19,16731686,SaiKushal185,"2026-08-23 17:05:40",2739.0,2,saikushal185
20,16730719,Xiaowenhao404,"2026-08-19 00:04:27",2730.0,2,xiaowenhao404
21,16621497,"Victor @ Tufa Labs","2026-08-19 18:37:51",2728.8,2,vmerckle
22,16748382,shiiin9,"2026-08-22 18:36:57",2727.2,2,shiiin9
23,16737057,Wiz,"2026-08-22 03:51:33",2726.5,2,williamzhou001
24,16665357,XW,"2026-08-23 14:21:09",2719.4,2,xuewei
25,16704466,"QQ Farming","2026-08-23 06:34:52",2708.7,4,"dzjiann,mitubant,ngyzly"
26,16741826,StackKnight,"2026-08-20 17:34:13",2708.0,2,stackknight
27,16623716,tetsuya,"2026-08-22 16:14:57",2706.8,2,tetsuya3510
28,16641077,lucaskna,"2026-08-23 00:54:40",2705.6,2,lucaskna
29,16668721,"Efe Can Celiksoy","2026-08-13 22:00:41",2704.0,2,efecnc
30,16727266,ebisu_ya,"2026-08-23 08:52:22",2697.8,2,ebisuya
31,16691154,UnknownRobi,"2026-08-21 22:14:16",2694.8,2,canrobichaud
32,16730524,"THIRD FARM CLUB","2026-08-23 14:57:19",2693.8,2,"bowwowforeach,mooegi,shunrcn,simann"
33,16696593,bplyc15,"2026-08-20 12:50:53",2692.2,2,bplyc15
34,16723991,"James Holland","2026-08-17 01:40:17",2672.8,2,jkhollandjr
35,16711752,"Atakan Aldemir","2026-08-23 16:01:08",2672.8,2,atakanaldemir
36,16623897,satoooh,"2026-08-23 16:12:51",2671.7,2,satoooh
37,16673205,"Arda Ceylan","2026-08-22 13:21:45",2669.6,2,ardacey
38,16670032,Kenjo1209,"2026-08-23 14:40:43",2667.5,2,kenjo1209
39,16727536,lelelove1225,"2026-08-23 04:14:27",2664.7,2,lelelove1225
40,16658946,theredbluepill,"2026-08-23 08:28:51",2661.9,2,poonszesen
41,16748765,"A. R. SEKKAT","2026-08-20 13:33:05",2655.1,1,arsekkat
42,16654091,webmaking,"2026-08-19 05:28:56",2653.1,2,webmaking
43,16736138,Anand,"2026-08-21 06:00:12",2651.4,2,gazzal
44,16669148,"Syed Muhammad Gillani","2026-08-20 12:24:36",2649.7,2,syedmuhammadgillani
45,16731926,"Pardheev Krishna","2026-08-21 00:15:30",2644.3,2,"anandkumar0901,ayushjiwatramani,nidhibsh,nitindatanylatics,pardheev"
46,16632867,"Rayk Kretzschmar","2026-08-23 09:19:02",2638.3,2,raykkretzschmar
47,16692956,VanKoha,"2026-08-22 10:32:36",2637.9,2,kohasama
48,16753515,"Yosif EL-Rammaal","2026-08-23 05:36:13",2637.7,2,yosifelrammaal
49,16663946,"Hello San Francisco","2026-08-23 00:02:56",2637.3,2,"circiumaru,dulgherustefan,radugoga"
50,16738721,"Luan Kunyu","2026-08-21 14:42:27",2633.3,2,luankunyu
51,16658245,ziliangCok,"2026-08-23 15:57:38",2630.9,2,ziliangcok
52,16666393,saikyo,"2026-08-22 16:09:23",2630.6,2,kyosaikyo
53,16671741,Excluding,"2026-08-22 21:51:13",2627.9,2,excluding
54,16732403,ymg_aq,"2026-08-23 07:51:51",2624.8,2,ymgpalaqs
55,16674385,"qr farm","2026-08-21 18:16:55",2622.2,2,qrz1201
56,16735744,老乡,"2026-08-21 06:26:03",2618.1,2,hboyang
57,16633178,"Cow Boy","2026-08-23 04:05:37",2614.0,2,shanzhong8
58,16710466,"Charles Backman on LinkedIn","2026-08-23 05:03:11",2610.5,2,charlesbackman
59,16734803,guoziyi123456,"2026-08-22 03:04:21",2606.1,2,"ax1lec,guoziyi123456,xuanzhechen"
60,16652710,Ryutogrrr,"2026-08-23 05:16:58",2605.9,2,ryutogrrr
61,16641536,"Michael Timbs","2026-08-16 22:43:17",2599.1,2,michaeltimbs
62,16736931,"Sergei Fironov","2026-08-22 10:24:05",2592.7,2,sergeifironov
63,16682879,"Patrick Chan","2026-08-21 19:07:38",2590.2,2,drpatrickchan
64,16655083,ktyser,"2026-08-22 21:44:20",2580.8,2,keithtyser
65,16669926,Jince,"2026-08-22 11:06:10",2579.1,2,jincesaju
66,16640510,SpaTaro,"2026-08-23 14:41:04",2578.0,2,tarosqrd2
67,16745450,GusNicho,"2026-08-23 17:49:38",2577.7,2,pineapplepencil
68,16667922,JungHwan,"2026-08-22 23:52:59",2573.9,2,najunghwan
69,16705659,"srijan k.r keshri","2026-08-21 04:29:38",2573.7,2,srijankrkeshri
70,16640048,"extra eclaire","2026-08-20 05:41:57",2569.5,2,extraeclaire
71,16670276,"Egor Trushin","2026-08-22 10:05:19",2567.2,2,egortrushin
72,16735235,Rorical,"2026-08-22 03:56:39",2561.7,2,hash548
73,16713457,"Poor farmer","2026-08-21 11:36:24",2557.6,2,trnhip
