episode,opponent,rank,lb_score,ours,theirs,margin,cause,cause_$,cause2,cause2_$,archetype,melon_day0,melon_late,cow,sheep,wheat_bought,quadrants,hands,pass_pct,shops
episode-93781740-replay,Jince,1713,1280.5,58067.0,92068.0,-34001.0,WOOL,34680,MELON,13589,"day-0 melon (new route), sheep-heavy x12, buys feed (837w), all 4 quadrants",12,0,6,12,837,4,12,9,"{""YARN_STORE"": 2, ""PET_CAFE"": 1, ""FARMERS_MARKET"": 3, ""BAKERY"": 1, ""ICE_CREAM_SHOP"": 1}"
episode-94194480-replay,Astraeus,1009,1869.0,57625.0,89693.0,-32068.0,WOOL,32733,MELON,13589,"day-0 melon (new route), sheep-heavy x12, buys feed (838w), all 4 quadrants",12,0,6,12,838,4,12,9,"{""PET_CAFE"": 3, ""YARN_STORE"": 2, ""SMOOTHIE_SHOP"": 1, ""BRUNCH_SPOT"": 1, ""BAKERY"": 1}"
episode-94032149-replay,Furious Monk,657,2101.9,61491.0,91568.0,-30077.0,WOOL,32885,MELON,13589,"day-0 melon (new route), sheep-heavy x12, buys feed (838w), all 4 quadrants",12,0,6,12,838,4,12,9,"{""YARN_STORE"": 4, ""FARMERS_MARKET"": 2, ""BAKERY"": 1, ""SMOOTHIE_SHOP"": 1}"
episode-93818931-replay,Jeff Marc E. Cadet,280,2456.6,61212.0,86742.0,-25530.0,WOOL,19104,MELON,13584,"day-0 melon (new route), sheep-heavy x8, buys feed (522w)",12,0,6,8,522,3,12,10,"{""YARN_STORE"": 2, ""FARMERS_MARKET"": 2, ""PET_CAFE"": 2, ""BAKERY"": 2}"
episode-94050542-replay,InformaBook2,486,2248.0,124914.0,145895.0,-20981.0,MILK,18799,MELON,13584,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""ICE_CREAM_SHOP"": 1, ""BAKERY"": 1, ""SMOOTHIE_SHOP"": 4, ""FARMERS_MARKET"": 1, ""PET_CAFE"": 1}"
episode-94147462-replay,XYZ,376,2359.0,108012.0,122226.0,-14214.0,MILK,14764,MELON,13584,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""PIZZA_SHOP"": 2, ""SMOOTHIE_SHOP"": 3, ""YARN_STORE"": 2, ""BAKERY"": 1}"
episode-93891311-replay,mandgeee,283,2455.1,88669.0,102467.0,-13798.0,WOOL,31942,FERTILIZER,2595,"day-0 melon (new route), sheep-heavy x12, buys feed (801w), all 4 quadrants",12,0,6,12,801,4,12,8,"{""YARN_STORE"": 2, ""SMOOTHIE_SHOP"": 2, ""PET_CAFE"": 2, ""FARMERS_MARKET"": 1, ""ICE_CREAM_SHOP"": 1}"
episode-94133492-replay,James Felipe,618,2137.1,101427.0,113655.0,-12228.0,MILK,15172,MELON,13584,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""PIZZA_SHOP"": 3, ""FARMERS_MARKET"": 1, ""SMOOTHIE_SHOP"": 2, ""BRUNCH_SPOT"": 1, ""BAKERY"": 1}"
episode-93788685-replay,iVl44d,1147,1748.0,117893.0,128973.0,-11080.0,WOOL,34643,FERTILIZER,2968,"day-0 melon (new route), sheep-heavy x12, buys feed (681w), all 4 quadrants",12,0,6,12,681,4,12,7,"{""YARN_STORE"": 2, ""ICE_CREAM_SHOP"": 2, ""SMOOTHIE_SHOP"": 2, ""PET_CAFE"": 1, ""BAKERY"": 1}"
episode-94199259-replay,Alperen Söylen,574,2175.7,99563.0,110495.0,-10932.0,MILK,15172,MELON,13597,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""PIZZA_SHOP"": 3, ""BRUNCH_SPOT"": 2, ""ICE_CREAM_SHOP"": 1, ""SMOOTHIE_SHOP"": 1, ""PET_CAFE"": 1}"
episode-93788202-replay,Jiayi Tang,1327,1631.7,125334.0,135865.0,-10531.0,MILK,14881,MELON,13604,"day-0 melon (new route), cow-heavy x10, buys feed (505w)",12,0,10,4,505,3,12,10,"{""SMOOTHIE_SHOP"": 2, ""PIZZA_SHOP"": 1, ""FARMERS_MARKET"": 1, ""ICE_CREAM_SHOP"": 1, ""PET_CAFE"": 2, ""BRUNCH_SPOT"": 1}"
episode-94085829-replay,Krzysztof Madziar,760,2032.8,130945.0,141350.0,-10405.0,MELON,13581,MILK,12557,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""ICE_CREAM_SHOP"": 1, ""SMOOTHIE_SHOP"": 2, ""YARN_STORE"": 2, ""PET_CAFE"": 2, ""BRUNCH_SPOT"": 1}"
episode-94112306-replay,FinalSunFlower,262,2472.9,112930.0,123310.0,-10380.0,MILK,14919,MELON,13584,"day-0 melon (new route), cow-heavy x10, buys feed (522w)",12,0,10,4,522,3,12,10,"{""SMOOTHIE_SHOP"": 1, ""ICE_CREAM_SHOP"": 1, ""PIZZA_SHOP"": 2, ""FARMERS_MARKET"": 1, ""BAKERY"": 1, ""PET_CAFE"": 2}"
episode-93918571-replay,automatylicza,229,2513.5,104847.0,114009.0,-9162.0,MELON,13584,MILK,13176,"day-0 melon (new route), cow-heavy x10, buys feed (502w)",12,0,10,4,502,3,12,10,"{""SMOOTHIE_SHOP"": 2, ""PIZZA_SHOP"": 2, ""FARMERS_MARKET"": 1, ""PET_CAFE"": 1, ""YARN_STORE"": 1, ""BAKERY"": 1}"
