episode,seat,team,score,opp_score,won,margin,hands_d5,hands_d10,hands_d15,hands_d20,hands_d25,hands_d30,quads_d5,quads_d10,quads_d15,quads_d20,quads_d25,quads_d30,money_d5,money_d10,money_d15,money_d20,money_d25,money_d30,tiles_WHEAT,tiles_CARROT,tiles_TOMATO,tiles_STRAWBERRY,tiles_MELON,peak_WHEAT,peak_CARROT,peak_TOMATO,peak_STRAWBERRY,peak_MELON,animals_GOOSE,animals_COW,animals_SHEEP,plant_total,first_melon_day,first_animal_day,quads_final,hands_final,act_total,act_move,act_pass,act_water,act_harvest,act_plant,act_care,act_feed,act_dig,act_fertilize,act_collect_fert,act_pickup,act_drop,act_place,act_build,move_share,pass_share,work_share,sold_WHEAT,sold_CARROT,sold_TOMATO,sold_STRAWBERRY,sold_MELON,sold_EGG,sold_MILK,sold_WOOL,sold_FERTILIZER,sold_total,sell_orders,buy_seed_orders,buy_product_orders
91271396,0,Harrislrobinson,36533,133375,0,-96842,8,11,12,12,12,12,2,3,4,4,4,4,131,3378,3138,14881,25382,36533,89,19,0,27,25,26,4,0,24,12,7,5,0,160,0,0,4,12,7619,4742,822,698,244,160,157,170,42,34,201,213,110,12,14,0.6224,0.1079,0.2697,151,34,0,117,128,155,67,0,157,809,142,76,8
91271396,1,THUNDER THUNDER,133375,36533,1,96842,3,14,11,14,12,10,1,3,3,3,3,3,527,6612,26412,66998,101479,133375,146,0,0,31,19,58,0,0,31,14,0,10,7,196,0,0,3,10,7028,2895,1100,970,390,196,353,359,42,62,383,178,66,17,17,0.4119,0.1565,0.4316,427,0,0,244,112,0,235,195,321,1534,181,66,162
91272293,0,Shadow,72630,142424,0,-69794,8,10,11,11,11,11,1,2,3,3,3,3,483,575,10112,34299,53778,72630,24,0,0,16,39,9,0,0,14,28,0,6,8,79,9,0,3,11,7056,3306,1377,491,163,79,337,350,1,0,349,163,412,14,14,0.4685,0.1952,0.3363,48,0,0,29,97,0,170,241,344,929,200,25,212
91272293,1,THUNDER THUNDER,142424,72630,1,69794,3,14,13,14,13,10,1,3,3,3,3,3,505,4625,19685,63666,110700,142424,143,0,0,32,19,53,0,0,31,14,0,8,9,194,0,0,3,10,7174,3058,1083,971,390,194,354,362,39,62,375,185,67,17,17,0.4263,0.151,0.4228,420,0,0,242,114,0,212,227,313,1528,187,71,150
91273183,0,HDPark,58415,143601,0,-85186,4,7,11,11,11,0,1,2,3,3,3,3,602,656,15531,24311,49017,58415,99,12,0,42,22,27,9,0,40,17,0,6,0,175,0,1,3,0,6097,3023,849,1200,245,175,129,131,18,57,124,128,6,6,6,0.4958,0.1392,0.3649,135,4,0,205,145,0,184,0,59,732,106,37,62
91273183,1,THUNDER THUNDER,143601,58415,1,85186,3,14,10,14,12,10,1,3,3,3,3,3,560,7048,23925,67485,114437,143601,136,0,0,38,16,55,0,0,38,11,0,9,7,190,0,0,3,10,6957,2962,1118,978,390,190,305,315,43,76,330,165,52,16,17,0.4258,0.1607,0.4135,433,0,0,294,96,0,220,151,254,1448,177,62,165
91274056,0,Deployable LLMs,44891,102133,0,-57242,10,10,10,10,10,10,1,2,2,2,2,2,260,4997,12720,19411,38979,44891,1,0,0,24,16,0,0,0,24,16,0,20,2,41,0,0,2,10,7474,4331,1520,417,190,41,210,210,25,63,258,144,21,22,22,0.5795,0.2034,0.2172,5,0,0,169,96,0,285,25,193,773,86,16,28
91274056,1,THUNDER THUNDER,102133,44891,1,57242,3,14,9,14,12,10,1,3,3,3,3,3,535,6574,17360,46414,79044,102133,146,0,0,39,17,60,0,0,38,12,0,9,4,202,0,0,3,10,6735,2888,1037,1010,385,202,285,289,52,75,302,136,48,13,13,0.4288,0.154,0.4172,465,0,0,291,102,0,220,132,227,1437,163,73,149
91274945,0,Touhidul Alam Seyam,122038,140884,0,-18846,6,11,12,12,12,0,2,4,4,4,4,4,1155,2798,13328,53366,99449,122038,19,3,0,39,24,11,2,0,38,16,0,10,8,85,0,0,4,0,7492,3893,855,626,339,85,394,399,0,69,396,193,205,19,19,0.5196,0.1141,0.3663,56,9,0,279,144,0,273,188,327,1276,303,26,258
91274945,1,THUNDER THUNDER,140884,122038,1,18846,3,14,10,14,13,10,1,3,3,3,3,3,497,5383,17227,57344,101073,140884,144,0,0,36,20,56,0,0,35,14,0,10,4,200,0,0,3,10,6991,2991,1112,1001,390,200,305,312,44,70,326,158,54,14,14,0.4278,0.1591,0.4131,415,0,0,271,120,0,243,132,256,1437,169,79,137
