episode_id,outcome,seat,opponent,reward,opponent_reward,margin,movement,productive,move_per_productive,pass,plant,water,harvest,pickup,drop,dig,max_hands,final_land,land_days,peak_wheat,peak_melon,peak_strawberry,peak_tomato,peak_cow,peak_sheep,bought_land,bought_wheat,sold_melon,sold_strawberry,sold_milk,sold_wool,d5_empty,d5_weeds,d5_strawberry,d5_melon,d8_empty,d8_weeds,d8_strawberry,d8_melon,d10_empty,d10_weeds,d10_strawberry,d10_melon,d12_empty,d12_weeds,d12_strawberry,d12_melon,d14_empty,d14_weeds,d14_strawberry,d14_melon,d18_empty,d18_weeds,d18_strawberry,d18_melon,d22_empty,d22_weeds,d22_strawberry,d22_melon,d26_empty,d26_weeds,d26_strawberry,d26_melon,d29_empty,d29_weeds,d29_strawberry,d29_melon
91226389,WIN,0,ceh,69345,39202,30143,5003,1961,2.5512493625701174,1190,80,480,191,372,5,43,12,3,5/7,14,4,38,0,7,7,2,308,25,128,171,155,26,0,2,3,44,0,6,3,19,0,30,4,20,0,35,1,20,0,38,3,20,0,38,3,20,3,36,2,28,13,20,0,61,0,0,0
91227049,LOSS,0,tehyoni,58476,64880,-6404,4957,1841,2.692558392178164,1357,86,512,191,290,5,44,12,3,5/7,14,6,39,0,5,7,2,267,43,138,141,142,25,0,2,4,43,0,6,4,16,0,33,4,17,0,38,1,15,0,38,6,17,0,39,5,17,2,37,5,30,12,19,0,61,0,0,0
91227955,WIN,1,dprinzensteiner,71566,45927,25639,5276,2081,2.5353195579048533,1133,83,524,190,406,5,46,13,4,5/7/14,14,10,39,0,10,9,3,366,58,130,194,113,25,0,2,4,41,0,8,4,14,0,32,10,12,0,36,9,34,0,39,10,32,2,39,9,38,4,37,3,41,23,17,1,79,0,2,0
91228843,WIN,0,Madhur Sabherwal,64969,42498,22471,4996,1881,2.656034024455077,1277,88,523,207,303,3,43,12,3,5/7,14,10,38,0,5,7,2,263,56,130,136,146,25,0,0,6,43,0,1,10,15,0,27,10,15,0,30,9,12,0,38,9,18,0,38,4,20,1,38,2,27,11,23,0,60,0,1,0
91229719,WIN,1,Guruprasad Parasnis,67805,67428,377,5011,2116,2.368147448015123,803,100,484,235,411,6,40,12,3,7/9,16,9,34,0,7,7,2,322,26,97,166,162,0,0,0,3,3,0,13,9,20,0,16,9,28,0,27,6,18,0,34,6,16,2,34,6,25,2,34,0,35,1,19,0,57,0,4,0
91230603,LOSS,1,T88,65632,81068,-15436,5149,1849,2.7847485127095726,1167,84,492,172,322,8,51,12,3,5/7,14,4,39,0,7,7,2,291,22,130,167,97,26,0,1,4,42,0,7,4,14,0,34,4,14,0,38,2,15,0,39,3,19,1,39,2,20,1,38,2,22,20,18,1,61,0,0,0
91231520,LOSS,0,Mark Holloway,44826,58090,-13264,5043,1867,2.70112479914301,1248,92,515,175,309,6,46,12,3,5/7,14,4,40,0,7,7,2,278,22,80,131,147,25,0,2,4,42,0,7,4,9,0,34,4,8,0,36,4,12,0,40,4,18,0,40,3,18,2,38,3,24,18,19,0,57,1,3,0
91232419,LOSS,0,Luc Mantoux,74814,77964,-3150,4984,1955,2.549360613810742,1215,79,478,204,353,7,41,12,3,5/7,14,5,37,0,7,7,2,308,35,125,177,144,26,0,2,3,41,0,7,5,18,0,33,5,17,0,37,5,18,0,37,5,19,1,37,4,21,2,35,3,25,20,16,0,61,0,0,0
91233309,WIN,0,Mohit Shirke,70467,56856,13611,5152,1817,2.8354430379746836,1189,85,505,186,276,7,51,12,3,5/7,14,4,40,0,7,6,2,282,26,139,160,93,26,0,2,3,42,0,8,3,16,0,32,4,13,0,38,2,13,2,40,3,18,0,40,3,19,2,38,2,22,19,20,0,61,0,0,0
91234198,WIN,0,Imran Ahamed,67937,45007,22930,5179,1851,2.7979470556455968,1132,81,500,181,328,9,51,12,3,5/7,14,4,40,0,7,7,2,277,19,135,155,110,26,0,2,3,42,0,7,4,16,0,32,4,15,0,37,2,12,3,40,4,17,0,40,4,18,2,38,3,23,15,21,2,60,1,0,0
91235082,WIN,1,CHRISTOPHER CRILLY,37890,28010,9880,4934,1844,2.675704989154013,1380,86,489,194,319,8,40,12,3,5/7,14,7,35,0,5,7,2,259,45,130,128,119,25,0,2,4,42,0,7,4,15,0,30,4,19,0,31,1,12,0,35,7,20,0,35,6,19,3,33,6,36,8,17,0,60,0,1,0
91235980,WIN,1,knadithyavr,52061,41895,10166,5023,1854,2.709277238403452,1288,84,505,170,317,6,56,12,3,5/7,14,5,40,0,7,6,2,287,18,135,167,99,26,0,2,3,42,0,8,3,10,0,36,4,8,0,38,4,11,1,40,4,16,1,40,4,16,3,38,4,30,12,19,0,61,0,0,0
91236911,LOSS,0,Mathijs Deelen,64345,77065,-12720,5095,1834,2.778080697928026,1233,83,491,178,310,4,46,12,3,5/7,14,5,38,0,7,6,2,289,36,132,171,79,26,0,2,3,43,0,7,3,18,0,32,4,17,0,35,4,13,4,38,5,18,0,38,5,21,0,36,4,27,16,18,0,60,0,1,0
91237771,LOSS,1,Yuta Tomimasu,68270,70233,-1963,4883,2035,2.3995085995085996,1011,80,396,232,386,10,33,12,3,7/9,16,9,26,0,7,7,2,337,36,101,193,158,0,0,0,3,15,0,15,9,27,0,21,9,30,0,23,6,28,0,26,6,28,0,26,6,35,0,26,0,45,0,10,0,61,0,0,0
91238674,LOSS,1,Speedrun retirement,75120,85057,-9937,5048,1936,2.6074380165289255,1171,89,503,183,330,8,41,12,3,5/7,14,10,35,0,7,7,2,295,51,95,177,141,25,0,2,4,27,0,23,5,19,0,31,5,14,0,32,10,16,1,34,10,17,0,35,9,17,3,33,8,49,0,6,0,61,0,0,0
91239571,WIN,1,t@got@go,51698,47577,4121,5076,1921,2.6423737636647577,1163,73,439,188,382,10,37,12,3,5/7,14,4,35,0,7,7,2,318,22,127,177,144,28,0,0,3,44,0,7,4,22,0,26,4,24,0,28,1,22,1,35,1,25,0,35,1,26,0,35,0,33,12,16,0,54,2,5,0
91240461,LOSS,1,Harsha Vardhan,74966,81867,-6901,5049,1895,2.6643799472295515,1212,81,485,186,321,7,44,12,3,5/7,14,4,38,0,7,7,2,302,22,126,174,138,26,0,2,3,42,0,8,3,17,0,33,4,17,0,35,4,18,0,38,4,19,0,38,4,20,2,36,3,20,23,18,0,61,0,0,0
91241379,WIN,0,Pat,49597,35153,14444,5054,1786,2.8297872340425534,1325,86,499,169,288,11,50,12,3,5/7,14,4,39,0,5,7,2,263,21,138,100,144,26,0,2,3,42,0,8,3,16,0,33,4,17,0,36,1,12,4,39,4,17,1,39,4,18,2,37,4,30,10,19,2,61,0,0,0
91242269,WIN,0,Richard G Atkinson,80969,77895,3074,5072,1893,2.6793449550977284,1190,84,496,195,334,5,49,12,3,5/7,14,4,40,0,7,7,2,282,21,135,177,110,25,0,2,4,42,0,7,4,16,0,31,4,14,1,38,1,15,0,40,2,20,0,40,1,20,2,38,1,22,17,21,1,60,0,1,0
91243167,LOSS,1,Alvaro Llamojha,52837,54273,-1436,5398,1957,2.7583035258048034,1133,81,495,189,374,5,44,13,4,5/7/14,14,5,40,0,10,9,3,300,22,122,137,153,26,0,2,3,44,0,5,5,17,0,30,5,17,0,35,2,35,3,40,3,38,0,40,3,40,2,38,1,42,16,22,1,73,3,5,0
91244063,LOSS,0,Nguyễn Phúc Gia Bảo,69611,84623,-15012,5014,1945,2.577892030848329,1193,76,471,197,366,4,41,12,3,5/7,14,5,37,0,7,7,2,307,35,120,177,143,25,0,2,4,42,0,6,5,20,0,30,5,23,0,30,5,19,0,37,5,21,0,37,3,23,0,35,3,28,15,18,0,61,0,0,0
91244998,LOSS,0,F4,91729,92528,-799,4972,1905,2.60997375328084,1281,78,493,195,336,5,45,12,3,5/7,14,6,38,0,7,7,2,300,34,133,171,125,26,0,2,3,44,0,6,3,19,0,32,4,15,1,36,4,16,2,38,5,16,1,38,6,17,3,36,5,26,15,19,1,61,0,0,0
91245897,WIN,1,Roberto Garcia,57377,48803,8574,5084,2105,2.4152019002375296,747,92,465,249,417,7,31,12,3,7/9,16,9,33,0,7,7,2,327,32,133,183,156,0,0,0,3,5,0,13,9,23,0,16,9,33,0,22,6,21,0,33,6,21,0,33,6,28,0,33,0,38,2,18,0,56,1,4,0
91246792,LOSS,1,Ayush Roy,55660,56995,-1335,5135,1853,2.77118186724231,1175,80,485,181,314,6,43,12,3,5/7,14,4,38,0,7,7,2,292,27,133,173,107,25,0,2,4,42,0,7,4,20,0,31,4,19,0,37,2,19,0,38,4,20,0,38,3,20,2,36,3,31,11,19,0,61,0,0,0
91254768,LOSS,0,Gabriele Giacometti,44559,49543,-4984,5314,2004,2.651696606786427,1191,89,546,191,359,5,35,13,4,5/7/13,14,10,42,0,10,9,3,315,55,111,199,76,25,0,0,6,44,0,0,9,13,0,28,10,12,0,33,9,27,0,41,9,35,0,42,4,36,1,42,2,36,19,26,0,65,8,8,0
91285083,WIN,1,Versilogic,47243,39649,7594,5054,2029,2.4908822079842285,856,90,487,264,372,8,32,12,3,7/9,17,9,36,0,5,7,2,281,36,138,135,162,0,0,0,3,2,0,13,9,21,0,15,9,26,0,29,6,19,0,36,6,19,0,36,6,25,0,36,0,38,1,21,0,57,1,3,0
91299082,WIN,0,Friaseus ,51589,40967,10622,4910,1869,2.6270733012306047,1376,90,525,228,291,7,45,12,3,5/7,14,6,40,0,7,3,2,235,40,159,179,85,26,0,2,3,42,0,7,4,18,0,32,4,17,0,36,3,14,0,40,6,15,0,40,6,16,2,38,5,30,11,20,0,61,0,0,0
91323460,WIN,0,Ruben Maya,59438,28048,31390,4946,1862,2.656283566058002,1351,88,517,204,268,9,50,12,3,5/7,14,9,37,0,5,7,2,263,54,129,120,156,26,0,2,3,45,0,4,4,16,0,29,4,19,0,31,2,10,3,36,9,15,0,37,9,16,2,35,8,35,6,20,0,60,0,1,0
91325985,LOSS,0,Tianfang Li,59748,144897,-85149,5149,1887,2.728669846316905,1119,83,493,182,330,5,46,12,3,5/7,14,4,40,0,7,7,2,279,21,120,167,125,26,0,2,3,43,0,6,4,18,0,31,4,17,0,37,2,17,0,40,2,19,0,40,2,19,3,38,1,20,19,22,0,60,0,1,0
91337981,LOSS,0,MarvelousXun,55713,69308,-13595,4882,1888,2.5858050847457625,1379,87,491,198,309,11,45,12,3,5/7,14,4,37,0,7,6,2,272,30,130,159,136,26,0,2,3,42,0,7,4,13,0,31,4,17,0,33,1,19,0,37,3,22,0,37,2,22,2,35,2,30,13,18,0,61,0,0,0
91345890,WIN,0,MoongladeAI,79338,48779,30559,4946,1976,2.5030364372469633,1236,81,473,186,400,8,46,12,3,5/7,14,4,37,0,7,7,2,312,22,128,175,155,26,0,2,3,45,0,5,3,17,0,29,4,16,1,33,1,17,3,37,2,20,2,37,2,21,3,35,2,27,14,20,0,61,0,0,0
